state_abbr,city,street,city_slug,street_slug,url
FL,Cutler Bay,20901 Old Cutler Rd,cutler-bay,20901-old-cutler-rd,https://locations.chipotle.com/fl/cutler-bay/20901-old-cutler-rd
WA,Camas,19530 Se Brady Rd,camas,19530-se-brady-rd,https://locations.chipotle.com/wa/camas/19530-se-brady-rd
FL,Plant City,201 W Alexander St,plant-city,201-w-alexander-st,https://locations.chipotle.com/fl/plant-city/201-w-alexander-st
TN,Nolensville,7344 Nolensville Rd,nolensville,7344-nolensville-rd,https://locations.chipotle.com/tn/nolensville/7344-nolensville-rd
FL,Saint Augustine,4285 Us Highway 1 S,saint-augustine,4285-us-highway-1-s,https://locations.chipotle.com/fl/saint-augustine/4285-us-highway-1-s
NY,Corning,372 Pulteney St,corning,372-pulteney-st,https://locations.chipotle.com/ny/corning/372-pulteney-st
FL,Oldsmar,3134 Tampa Rd,oldsmar,3134-tampa-rd,https://locations.chipotle.com/fl/oldsmar/3134-tampa-rd
CA,Simi Valley,2902 Tapo Canyon Rd,simi-valley,2902-tapo-canyon-rd,https://locations.chipotle.com/ca/simi-valley/2902-tapo-canyon-rd
OH,Medina,5864 Wooster Pike,medina,5864-wooster-pike,https://locations.chipotle.com/oh/medina/5864-wooster-pike
WA,Tumwater,6208 Littlerock Rd Sw,tumwater,6208-littlerock-rd-sw,https://locations.chipotle.com/wa/tumwater/6208-littlerock-rd-sw
CA,Escondido,507 West Mission Avenue,escondido,507-west-mission-avenue,https://locations.chipotle.com/ca/escondido/507-west-mission-avenue
CT,Darien,330 Heights Rd,darien,330-heights-rd,https://locations.chipotle.com/ct/darien/330-heights-rd
CA,Mountain House,18011 W Grant Line Rd,mountain-house,18011-w-grant-line-rd,https://locations.chipotle.com/ca/mountain-house/18011-w-grant-line-rd
MN,Lexington,9185 South Highway Drive,lexington,9185-south-highway-drive,https://locations.chipotle.com/mn/lexington/9185-south-highway-drive
TX,League City,1603 W League City Pkwy,league-city,1603-w-league-city-pkwy,https://locations.chipotle.com/tx/league-city/1603-w-league-city-pkwy
DE,Middletown,520 Ernst Way,middletown,520-ernst-way,https://locations.chipotle.com/de/middletown/520-ernst-way
MO,Kansas City,8420 N Indiana Ave,kansas-city,8420-n-indiana-ave,https://locations.chipotle.com/mo/kansas-city/8420-n-indiana-ave
